RES_num,1,2,3,4,5,6,7
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,4,0,8,6,0,0,0
6,2,0,0,6,0,0,4
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,2,0,0,1,0
14,0,2,0,1,0,0,1
15,1,3,4,2,1,6,8
16,0,2,0,3,0,4,6
17,0,0,1,1,2,0,0
18,0,1,0,1,0,0,1
19,2,0,1,1,0,2,0
20,0,0,2,0,0,1,0
21,1,1,0,0,2,0,0
22,0,1,0,0,0,0,0
23,2,3,2,5,3,8,11
24,0,2,3,6,0,8,12
25,1,0,2,2,3,24,14
26,1,0,2,3,2,12,11
27,0,2,0,3,2,9,12
28,0,0,2,2,0,3,5
29,2,3,2,1,0,24,23
30,2,0,2,3,0,13,24
