RES_num,1,2,3,4,5,6,7
1,0.005,0.005,0.005,0.005,0.005,0.005,0.005
2,0.005,0.005,0.005,0.005,0.005,0.005,0.005
3,0.007,0.007,0.007,0.007,0.007,0.007,0.007
4,0.007,0.007,0.007,0.007,0.007,0.007,0.007
5,0.015,0.015,0.015,0.015,0.015,0.015,0.015
6,0.015,0.015,0.015,0.015,0.015,0.015,0.015
7,0.003,0.003,0.003,0.003,0.003,0.003,0.003
8,10000,10000,10000,10000,10000,10000,10000
9,10000,10000,10000,10000,10000,10000,10000
10,10000,10000,10000,10000,10000,10000,10000
11,10000,10000,10000,10000,10000,10000,10000
12,10000,10000,10000,10000,10000,10000,10000
13,0.02,0.02,0.02,0.02,0.02,0.02,0.02
14,0.018,0.018,0.018,0.018,0.018,0.018,0.018
15,0.025,0.025,0.025,0.025,0.025,0.025,0.025
16,0.015,0.015,0.015,0.015,0.015,0.015,0.015
17,0.005,0.005,0.005,0.005,0.005,0.005,0.005
18,0.005,0.005,0.005,0.005,0.005,0.005,0.005
19,0.005,0.005,0.005,0.005,0.005,0.005,0.005
20,0.005,0.005,0.005,0.005,0.005,0.005,0.005
21,0.005,0.005,0.005,0.005,0.005,0.005,0.005
22,0.005,0.005,0.005,0.005,0.005,0.005,0.005
23,0.08,0.08,0.08,0.08,0.08,0.08,0.08
24,0.08,0.08,0.08,0.08,0.08,0.08,0.08
25,0.06,0.06,0.06,0.06,0.06,0.06,0.06
26,0.06,0.06,0.06,0.06,0.06,0.06,0.06
27,0.06,0.06,0.06,0.06,0.06,0.06,0.06
28,0.06,0.06,0.06,0.06,0.06,0.06,0.06
29,0.05,0.05,0.05,0.05,0.05,0.05,0.05
30,0.05,0.05,0.05,0.05,0.05,0.05,0.05
