RES_num,1,2,3,4,5,6,7
1,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,0.03,0.03,0.03,0.03,0.03,0.03,0.03
7,0.05,0.05,0.05,0.05,0.05,0.05,0.05
8,0.7,0.7,0.7,0.7,0.7,0.7,0.7
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13,10,10,10,10,10,10,10
14,10,10,10,10,10,10,10
15,7.5,7.5,7.5,7.5,7.5,7.5,7.5
16,7.5,7.5,7.5,7.5,7.5,7.5,7.5
17,5.5,5.5,5.5,5.5,5.5,5.5,5.5
18,5.5,5.5,5.5,5.5,5.5,5.5,5.5
19,5.5,5.5,5.5,5.5,5.5,5.5,5.5
20,5.5,5.5,5.5,5.5,5.5,5.5,5.5
21,5.5,5.5,5.5,5.5,5.5,5.5,5.5
22,5.5,5.5,5.5,5.5,5.5,5.5,5.5
23,12,12,12,12,12,12,12
24,12,12,12,12,12,12,12
25,12,12,12,12,12,12,12
26,12,12,12,12,12,12,12
27,11,11,11,11,11,11,11
28,11,11,11,11,11,11,11
29,11,11,11,11,11,11,11
30,11,11,11,11,11,11,11
