RES_num,1,2,3,4,5,6,7
1,3000,0,0,0,0,0,0
2,5000,0,0,0,0,0,0
3,6500,0,0,0,0,0,0
4,10500,0,0,0,0,0,0
5,200,0,0,0,0,0,0
6,400,0,0,0,0,0,0
7,400,0,0,0,0,0,0
8,180,180,180,180,150,0,0
9,240,240,240,240,240,0,0
10,240,240,240,300,300,0,0
11,480,480,0,360,360,0,0
12,240,240,240,240,240,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
